compound,auid,Egap,Egap_type,enthalpy_formation_atom,volume_atom,spacegroup_relax,Pearson_symbol_relax,aurl
Ag1Al2Au1,aflow:995c6a28118d8c75,,,0.013976,17.5411,216,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/T0002.AB2C
Ag1Al2Au1,aflow:9efe0965349c5a80,,,-0.189642,16.9959,6,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC005.BCA
Ag1Al2Au1,aflow:b134059124ed99d2,,,-0.140853,16.8949,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC015.BCA
Ag1Al2Au1,aflow:b34e7aff17f21179,,,-0.164654,17.0091,12,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC011.BCA
Ag1Al2Au1,aflow:b922ad073ae43e69,,,-0.136969,16.9051,47,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC010.BCA
Ag1Al2Au1,aflow:ba67e0f4297c17e8,,,-0.138236,16.7856,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC016.BCA
Ag1Al2Au1,aflow:bca40cb48f55c28a,,,-0.0634852,17.8379,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC009.BCA
Ag1Al2Au1,aflow:c4a744140c6ad24d,,,-0.212626,17.1639,99,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC006.BCA
Ag1Al2Au1,aflow:cb4a059c317eb895,,,-0.211691,17.0748,25,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC005.BCA
Ag1Al2Au1,aflow:d8c1c291002b3c11,,,-0.105177,17.0457,99,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC007.BCA
Ag1Al2Au1,aflow:e04b735ec7e28a23,,,-0.178749,17.0505,8,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC006.BCA
Ag1Al2Au1,aflow:e498f8bda32c5042,,,0.013989,17.5512,216,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC008.BCA
Ag1Al2Au1,aflow:f723f8f317e7daf1,,,-0.101522,16.8822,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC011.BCA
Ag1Al2Au2,aflow:5c85f277405a110c,,,-0.0369038,19.7305,139,tI10,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/T0011.BAC
Ag1Al2B1,aflow:052ec5a5e877bbcb,,,0.203632,15.3076,12,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC011.BCA
Ag1Al2B1,aflow:115681a1edf540fa,,,0.285489,15.4817,8,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC006.BCA
Ag1Al2B1,aflow:17d86e2d16095939,,,0.25045,16.3888,6,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC005.BCA
Ag1Al2B1,aflow:3b7324e8c1e7edba,,,0.640932,13.9305,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC016.BCA
Ag1Al2B1,aflow:3d1fbab32eb5397b,,,0.290676,14.5479,44,oI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC007.BCA
Ag1Al2B1,aflow:3e7b9eaf7518575b,,,0.791237,15.1279,216,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/T0002.AB2C
Ag1Al2B1,aflow:4c1879ef45e415cb,,,0.598285,14.2609,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC014.BCA
Ag1Al2B1,aflow:625e53af6aaf4989,,,0.262838,14.1702,166,hR4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC009.BCA
Ag1Al2B1,aflow:64ef4d34774c69a3,,,0.598019,14.2716,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC015.BCA
Ag1Al2B1,aflow:7096bafb90047728,,,0.407434,14.089,47,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC010.BCA
Ag1Al2B1,aflow:73443494c6be0223,,,0.496492,14.2696,99,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC007.BCA
Ag1Al2B1,aflow:78d9d7c9b7d447c1,,,0.351111,14.404,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC009.BCA
Ag1Al2B1,aflow:8b7a46f71e12202e,,,0.640795,14.359,119,tI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC008.BCA
